id,url,title,price,price_numeric,location,size,room_type,floor,lift,details,last_updated
33170895,https://www.idealista.pt/en/imovel/33170895/,"Terraced house, Vila Graciete, Prazeres - Maria Pia, Campo de Ourique","285,000€",285000,,140,T1,,,T140 m²,2025-03-16 10:28:33
33956353,https://www.idealista.pt/en/imovel/33956353/,"T1 flat in rua do Vale Formoso de Cima, Marvila, Lisboa","208,000€",208000,"rua do Vale Formoso de Cima, Marvila, Lisboa",149,T1,Ground floor,No,T149 m²Ground floor without lift,2025-03-16 10:28:33
33964327,https://www.idealista.pt/en/imovel/33964327/,"T1 flat in rua Marcos Portugal, Príncipe Real - São Bento, Misericórdia","290,000€",290000,"rua Marcos Portugal, Príncipe Real - São Bento, Misericórdia",160,T1,2,No,T160 m²2nd floor without lift,2025-03-16 10:28:33
33789807,https://www.idealista.pt/en/imovel/33789807/,"Terraced house, Calçada da Quintinha, Centro, Campolide","285,000€",285000,,252,T2,,,T252 m²,2025-03-16 10:28:33
33277885,https://www.idealista.pt/en/imovel/33277885/,"T2 flat in rua do Duque, Chiado, Santa Maria Maior","215,000€",215000,"rua do Duque, Chiado, Santa Maria Maior",241,T2,5,No,T241 m²5th floor without lift,2025-03-16 10:28:33
33694400,https://www.idealista.pt/en/imovel/33694400/,"T2 flat, Calçada Cardeal, São Vicente de Fora, São Vicente","289,000€",289000,,247,T2,1,No,T247 m²1st floor without lift,2025-03-16 10:28:33
33934110,https://www.idealista.pt/en/imovel/33934110/,"T1 flat in rua da Silva, 34, Cais do Sodré - Santos, Misericórdia","248,000€",248000,"rua da Silva, 34, Cais do Sodré - Santos, Misericórdia",160,T1,,No,T160 m²without lift,2025-03-16 10:28:33
33922302,https://www.idealista.pt/en/imovel/33922302/,"Duplex in rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior","240,000€",240000,"rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior",240,T2,2,No,T240 m²2nd floor without lift,2025-03-16 10:28:33
33898547,https://www.idealista.pt/en/imovel/33898547/,"T1 flat in rua Aliança Operária, Boa Hora, Ajuda","300,000€",300000,"rua Aliança Operária, Boa Hora, Ajuda",140,T1,1,No,T140 m²1st floor without lift,2025-03-16 10:28:33
33924500,https://www.idealista.pt/en/imovel/33924500/,"T1 flat in rua da Oliveira ao Carmo, 57, Chiado, Santa Maria Maior","290,000€",290000,"rua da Oliveira ao Carmo, 57, Chiado, Santa Maria Maior",173,T1,Ground floor,No,T173 m²Ground floor without lift,2025-03-16 10:28:33
33654320,https://www.idealista.pt/en/imovel/33654320/,"T2 flat in rua Doutor João de Barros, Arneiros, Benfica","295,000€",295000,"rua Doutor João de Barros, Arneiros, Benfica",275,T2,Basement,Yes,T275 m²Basement with lift,2025-03-16 10:28:33
33736516,https://www.idealista.pt/en/imovel/33736516/,"T1 flat in Alfama, Santa Maria Maior","255,000€265,000 €4%",255000,"Alfama, Santa Maria Maior",148,T1,,,T148 m²,2025-03-16 10:28:33
33962583,https://www.idealista.pt/en/imovel/33962583/,"T2 flat in Marvila, Lisboa","260,000€270,000 €4%",260000,"Marvila, Lisboa",266,T2,,Yes,T266 m²with lift,2025-03-16 10:28:33
33851408,https://www.idealista.pt/en/imovel/33851408/,"T2 flat in rua Capitão Roby, Nn, Beato, Lisboa","230,000€",230000,"rua Capitão Roby, Nn, Beato, Lisboa",247,T2,,,T247 m²,2025-03-16 10:28:33
33911212,https://www.idealista.pt/en/imovel/33911212/,"T2 flat in avenida General Roçadas, 169, Centro, Penha de França","280,000€",280000,"avenida General Roçadas, 169, Centro, Penha de França",255,T2,,No,T255 m²without lift,2025-03-16 10:28:33
33846538,https://www.idealista.pt/en/imovel/33846538/,"T2 flat in Anjos, Arroios","250,000€282,000 €11%",250000,"Anjos, Arroios",2100,T2,,No,T2100 m²without lift,2025-03-16 10:28:33
33919754,https://www.idealista.pt/en/imovel/33919754/,"T1 flat in travessa de São Miguel, 10, Alfama, Santa Maria Maior","195,000€",195000,"travessa de São Miguel, 10, Alfama, Santa Maria Maior",142,T1,2,No,T142 m²2nd floor without lift,2025-03-16 10:28:33
33799376,https://www.idealista.pt/en/imovel/33799376/,"T1 flat, Alto do Carvalhão, 21, Centro, Campolide","285,000€",285000,,150,T1,,No,T150 m²without lift,2025-03-16 10:28:33
33972383,https://www.idealista.pt/en/imovel/33972383/,"Duplex in rua de São Bento, Príncipe Real - São Bento, Misericórdia","250,000€",250000,"rua de São Bento, Príncipe Real - São Bento, Misericórdia",146,T1,2,No,T146 m²2nd floor without lift,2025-03-16 10:28:33
33917033,https://www.idealista.pt/en/imovel/33917033/,"T2 flat, Calçada do Monte, Nn, Graça, São Vicente","299,500€",299500,,262,T2,,,T262 m²,2025-03-16 10:28:33
33792891,https://www.idealista.pt/en/imovel/33792891/,"Duplex in Cais do Sodré - Santos, Misericórdia","300,000€",300000,"Cais do Sodré - Santos, Misericórdia",159,T1,4,No,T159 m²4th floor without lift,2025-03-16 10:28:33
33904537,https://www.idealista.pt/en/imovel/33904537/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","290,000€",290000,"Mouraria - Castelo, Santa Maria Maior",157,T1,Ground floor,No,T157 m²Ground floor without lift,2025-03-16 10:28:33
33630455,https://www.idealista.pt/en/imovel/33630455/,"T2 flat in Mouraria - Castelo, Santa Maria Maior","285,000€",285000,"Mouraria - Castelo, Santa Maria Maior",255,T2,2,,T255 m²2nd floor,2025-03-16 10:28:49
33964850,https://www.idealista.pt/en/imovel/33964850/,"T2 flat in rua Doutor João de Barros, Arneiros, Benfica","250,000€",250000,"rua Doutor João de Barros, Arneiros, Benfica",273,T2,5,Yes,T273 m²5th floor with lift,2025-03-16 10:28:49
33086982,https://www.idealista.pt/en/imovel/33086982/,"T1 flat in rua Francisco Mantero, Olivais, Lisboa","250,000€",250000,"rua Francisco Mantero, Olivais, Lisboa",148,T1,8,Yes,T148 m²8th floor with lift,2025-03-16 10:28:49
33364458,https://www.idealista.pt/en/imovel/33364458/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","290,000€",290000,"Mouraria - Castelo, Santa Maria Maior",147,T1,Ground floor,Yes,T147 m²Ground floor with lift,2025-03-16 10:28:49
33955347,https://www.idealista.pt/en/imovel/33955347/,"T2 flat in Largo do Calvário - Lx Factory, Alcântara","269,000€295,000 €9%",269000,"Largo do Calvário - Lx Factory, Alcântara",265,T2,3,No,T265 m²3rd floor without lift,2025-03-16 10:28:49
33755290,https://www.idealista.pt/en/imovel/33755290/,"Terraced house in Santa Engrácia, São Vicente","230,000€",230000,"Santa Engrácia, São Vicente",279,T2,,,T279 m²,2025-03-16 10:28:49
33625352,https://www.idealista.pt/en/imovel/33625352/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","170,000€",170000,"Mouraria - Castelo, Santa Maria Maior",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:28:49
33096356,https://www.idealista.pt/en/imovel/33096356/,"T1 flat in Lapa, Estrela","298,000€",298000,"Lapa, Estrela",155,T1,,No,T155 m²without lift,2025-03-16 10:28:49
33974797,https://www.idealista.pt/en/imovel/33974797/,"T2 flat in Alto de Santo Amaro, Alcântara","230,000€",230000,"Alto de Santo Amaro, Alcântara",246,T2,3,No,T246 m²3rd floor without lift,2025-03-16 10:28:49
33935870,https://www.idealista.pt/en/imovel/33935870/,"T1 flat in beco do Alegrete, 10, Mouraria - Castelo, Santa Maria Maior","269,000€",269000,"beco do Alegrete, 10, Mouraria - Castelo, Santa Maria Maior",160,T1,,No,T160 m²without lift,2025-03-16 10:28:49
33681153,https://www.idealista.pt/en/imovel/33681153/,"T2 flat in Anjos, Arroios","299,000€",299000,"Anjos, Arroios",275,T2,,No,T275 m²without lift,2025-03-16 10:28:49
33712826,https://www.idealista.pt/en/imovel/33712826/,"T2 flat in rua Aliança Operária, Alto de Alcântara, Alcântara","245,000€260,000 €6%",245000,"rua Aliança Operária, Alto de Alcântara, Alcântara",260,T2,Basement,No,T260 m²Basement without lift,2025-03-16 10:28:49
33932941,https://www.idealista.pt/en/imovel/33932941/,"Detached house in Alvito - Quinta do Jacinto, Alcântara","299,000€",299000,"Alvito - Quinta do Jacinto, Alcântara",260,T2,,,T260 m²,2025-03-16 10:28:49
33749208,https://www.idealista.pt/en/imovel/33749208/,"T2 flat in Alto de São João - Alto do Varejão, Penha de França","300,000€",300000,"Alto de São João - Alto do Varejão, Penha de França",258,T2,3,Yes,T258 m²3rd floor with lift,2025-03-16 10:28:49
33616511,https://www.idealista.pt/en/imovel/33616511/,"T2 flat in rua Castelo Branco Saraiva, 47, Centro, Penha de França","260,000€",260000,"rua Castelo Branco Saraiva, 47, Centro, Penha de França",258,T2,Ground floor,No,T258 m²Ground floor without lift,2025-03-16 10:28:49
32537931,https://www.idealista.pt/en/imovel/32537931/,"T1 flat in rua da Senhora do Monte, 5, Graça, São Vicente","299,000€",299000,"rua da Senhora do Monte, 5, Graça, São Vicente",144,T1,3,No,T144 m²3rd floor without lift,2025-03-16 10:28:49
33907990,https://www.idealista.pt/en/imovel/33907990/,"T2 flat in rua do Passadiço, Campo de Santana - Santa Marta, Santo António","300,000€",300000,"rua do Passadiço, Campo de Santana - Santa Marta, Santo António",250,T2,2,No,T250 m²2nd floor without lift,2025-03-16 10:28:49
33485746,https://www.idealista.pt/en/imovel/33485746/,"T1 flat in Bairro Alto, Misericórdia","299,000€",299000,"Bairro Alto, Misericórdia",150,T1,1,No,T150 m²1st floor without lift,2025-03-16 10:28:49
33815374,https://www.idealista.pt/en/imovel/33815374/,"T1 flat, Calçado do Garcia, 31, Baixa, Santa Maria Maior","290,000€",290000,,147,T1,Ground floor,Yes,T147 m²Ground floor with lift,2025-03-16 10:28:49
33780968,https://www.idealista.pt/en/imovel/33780968/,"T2 flat in rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","285,000€",285000,"rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",255,T2,3,No,T255 m²3rd floor without lift,2025-03-16 10:29:06
33871132,https://www.idealista.pt/en/imovel/33871132/,"T1 flat in rua de Santo Amaro, 21, Lapa, Estrela","245,000€",245000,"rua de Santo Amaro, 21, Lapa, Estrela",140,T1,,,T140 m²,2025-03-16 10:29:06
33750712,https://www.idealista.pt/en/imovel/33750712/,"T2 flat in rua Lopes, Alto de São João - Alto do Varejão, Penha de França","250,000€",250000,"rua Lopes, Alto de São João - Alto do Varejão, Penha de França",270,T2,1,No,T270 m²1st floor without lift,2025-03-16 10:29:06
33966386,https://www.idealista.pt/en/imovel/33966386/,"T2 flat in Santos-o-Velho - Madragoa, Estrela","270,000€299,000 €10%",270000,"Santos-o-Velho - Madragoa, Estrela",250,T2,2,No,T250 m²2nd floor without lift,2025-03-16 10:29:06
33415512,https://www.idealista.pt/en/imovel/33415512/,"T1 flat in rua da Atalaia, Nn, Bairro Alto, Misericórdia","257,500€265,000 €3%",257500,"rua da Atalaia, Nn, Bairro Alto, Misericórdia",171,T1,,,T171 m²,2025-03-16 10:29:06
33673087,https://www.idealista.pt/en/imovel/33673087/,"T1 flat in rua Maestro António Taborda, Lapa, Estrela","299,000€",299000,"rua Maestro António Taborda, Lapa, Estrela",143,T1,,No,T143 m²Floor -1 without lift,2025-03-16 10:29:06
33772698,https://www.idealista.pt/en/imovel/33772698/,"T2 flat in travessa do Oleiro, 17, Santa Catarina, Misericórdia","288,000€",288000,"travessa do Oleiro, 17, Santa Catarina, Misericórdia",257,T2,2,No,T257 m²2nd floor without lift,2025-03-16 10:29:06
33119789,https://www.idealista.pt/en/imovel/33119789/,"T2 flat in rua da Madalena, Baixa, Santa Maria Maior","290,000€",290000,"rua da Madalena, Baixa, Santa Maria Maior",266,T2,4,No,T266 m²4th floor without lift,2025-03-16 10:29:06
33164642,https://www.idealista.pt/en/imovel/33164642/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","275,000€",275000,"estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",265,T2,Ground floor,No,T265 m²Ground floor without lift,2025-03-16 10:29:06
33791667,https://www.idealista.pt/en/imovel/33791667/,"T2 flat in travessa do Zagalo, 19, São Vicente de Fora, São Vicente","220,000€",220000,"travessa do Zagalo, 19, São Vicente de Fora, São Vicente",242,T2,,No,T242 m²without lift,2025-03-16 10:29:06
33059426,https://www.idealista.pt/en/imovel/33059426/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","275,000€",275000,"estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",277,T2,Ground floor,No,T277 m²Ground floor without lift,2025-03-16 10:29:06
33831271,https://www.idealista.pt/en/imovel/33831271/,"T2 flat in beco Birbantes, 25, Pena, Arroios","275,000€285,000 €4%",275000,"beco Birbantes, 25, Pena, Arroios",274,T2,,No,T274 m²without lift,2025-03-16 10:29:06
33750659,https://www.idealista.pt/en/imovel/33750659/,"T2 flat in travessa do Oleiro, Santa Catarina, Misericórdia","288,000€",288000,"travessa do Oleiro, Santa Catarina, Misericórdia",257,T2,2,No,T257 m²2nd floor without lift,2025-03-16 10:29:06
32834508,https://www.idealista.pt/en/imovel/32834508/,"T1 flat in largo Santo Antoninho , Bica, Misericórdia","225,000€",225000,"largo Santo Antoninho , Bica, Misericórdia",160,T1,Basement,No,T160 m²Basement without lift,2025-03-16 10:29:06
33444004,https://www.idealista.pt/en/imovel/33444004/,"T1 flat in travessa dos Pescadores, Cais do Sodré - Santos, Misericórdia","189,000€",189000,"travessa dos Pescadores, Cais do Sodré - Santos, Misericórdia",152,T1,5,No,T152 m²5th floor without lift,2025-03-16 10:29:06
33220551,https://www.idealista.pt/en/imovel/33220551/,"T2 flat in rua Guarda Jóias,, Boa Hora, Ajuda","205,000€",205000,"rua Guarda Jóias,, Boa Hora, Ajuda",268,T2,1,Yes,T268 m²1st floor with lift,2025-03-16 10:29:06
33572164,https://www.idealista.pt/en/imovel/33572164/,"T1 flat in rua Cidade da Horta, 8, Estefânia, São Jorge de Arroios, Arroios","175,000€",175000,"rua Cidade da Horta, 8, Estefânia, São Jorge de Arroios, Arroios",147,T1,,,T147 m²,2025-03-16 10:29:06
33034841,https://www.idealista.pt/en/imovel/33034841/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","275,000€",275000,"estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",277,T2,Ground floor,No,T277 m²Ground floor without lift,2025-03-16 10:29:06
33773682,https://www.idealista.pt/en/imovel/33773682/,"T1 flat in rua Santos Pinto, Lapa, Estrela","290,000€",290000,"rua Santos Pinto, Lapa, Estrela",150,T1,Ground floor,Yes,T150 m²Ground floor with lift,2025-03-16 10:29:06
33850250,https://www.idealista.pt/en/imovel/33850250/,"T1 flat in Santos-o-Velho - Madragoa, Estrela","270,000€",270000,"Santos-o-Velho - Madragoa, Estrela",150,T1,2,No,T150 m²2nd floor without lift,2025-03-16 10:29:06
33967223,https://www.idealista.pt/en/imovel/33967223/,"T1 flat in rua do Vale de Santo António, São Vicente de Fora, São Vicente","299,900€",299900,"rua do Vale de Santo António, São Vicente de Fora, São Vicente",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:29:06
33886530,https://www.idealista.pt/en/imovel/33886530/,"T2 flat in travessa do Oleiro, Santa Catarina, Misericórdia","288,000€",288000,"travessa do Oleiro, Santa Catarina, Misericórdia",257,T2,2,No,T257 m²2nd floor without lift,2025-03-16 10:29:26
32813012,https://www.idealista.pt/en/imovel/32813012/,"T1 flat in Alfama, Santa Maria Maior","219,500€",219500,"Alfama, Santa Maria Maior",142,T1,2,No,T142 m²2nd floor without lift,2025-03-16 10:29:26
32568986,https://www.idealista.pt/en/imovel/32568986/,"T2 flat in Alfama, Santa Maria Maior","300,000€",300000,"Alfama, Santa Maria Maior",256,T2,1,No,T256 m²1st floor without lift,2025-03-16 10:29:26
33015058,https://www.idealista.pt/en/imovel/33015058/,"T2 flat in rua de São Pedro Mártir, Mouraria - Castelo, Santa Maria Maior","285,000€",285000,"rua de São Pedro Mártir, Mouraria - Castelo, Santa Maria Maior",255,T2,2,No,T255 m²2nd floor without lift,2025-03-16 10:29:26
33596805,https://www.idealista.pt/en/imovel/33596805/,"T2 flat in Bica, Misericórdia","295,000€",295000,"Bica, Misericórdia",260,T2,,No,T260 m²without lift,2025-03-16 10:29:26
33932700,https://www.idealista.pt/en/imovel/33932700/,"T2 flat in Estrada de Benfica, São Domingos de Benfica","285,000€",285000,"Estrada de Benfica, São Domingos de Benfica",247,T2,Ground floor,No,T247 m²Ground floor without lift,2025-03-16 10:29:26
33077474,https://www.idealista.pt/en/imovel/33077474/,"T1 flat in Lapa, Estrela","299,000€",299000,"Lapa, Estrela",150,T1,,No,T150 m²without lift,2025-03-16 10:29:26
32401970,https://www.idealista.pt/en/imovel/32401970/,"T2 flat in Graça, São Vicente","250,000€",250000,"Graça, São Vicente",261,T2,,No,T261 m²without lift,2025-03-16 10:29:26
33927261,https://www.idealista.pt/en/imovel/33927261/,"T2 flat in travessa Alcaide, 16, Santa Catarina, Misericórdia","269,000€",269000,"travessa Alcaide, 16, Santa Catarina, Misericórdia",275,T2,Ground floor,No,T275 m²Ground floor without lift,2025-03-16 10:29:26
33737730,https://www.idealista.pt/en/imovel/33737730/,"T2 flat in Alto de Santo Amaro, Alcântara","295,000€",295000,"Alto de Santo Amaro, Alcântara",274,T2,,No,T274 m²without lift,2025-03-16 10:29:26
33952410,https://www.idealista.pt/en/imovel/33952410/,"T1 flat in Prazeres, Estrela","235,000€",235000,"Prazeres, Estrela",159,T1,,No,T159 m²without lift,2025-03-16 10:29:26
33895242,https://www.idealista.pt/en/imovel/33895242/,"T1 flat in Centro, Belém","280,000€290,000 €3%",280000,"Centro, Belém",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:29:26
33113830,https://www.idealista.pt/en/imovel/33113830/,"T2 flat in rua Penha de França, Centro, Penha de França","285,000€",285000,"rua Penha de França, Centro, Penha de França",282,T2,Ground floor,No,T282 m²Ground floor without lift,2025-03-16 10:29:26
33882150,https://www.idealista.pt/en/imovel/33882150/,"T1 flat in rua de São Bento, Príncipe Real - São Bento, Misericórdia","250,000€290,000 €14%",250000,"rua de São Bento, Príncipe Real - São Bento, Misericórdia",146,T1,2,No,T146 m²2nd floor without lift,2025-03-16 10:29:26
33367986,https://www.idealista.pt/en/imovel/33367986/,"T1 flat in rua Saraiva de Carvalho, 215, Centro, Campo de Ourique","295,000€",295000,"rua Saraiva de Carvalho, 215, Centro, Campo de Ourique",155,T1,,Yes,T155 m²Floor -2 with lift,2025-03-16 10:29:26
33958249,https://www.idealista.pt/en/imovel/33958249/,"T2 flat in rua Heliodoro Salgado, Nn, Anjos, Arroios","259,000€272,500 €5%",259000,"rua Heliodoro Salgado, Nn, Anjos, Arroios",270,T2,Basement,No,T270 m²Basement without lift,2025-03-16 10:29:26
33425899,https://www.idealista.pt/en/imovel/33425899/,"T2 flat in Pena, Arroios","253,000€",253000,"Pena, Arroios",280,T2,,,T280 m²,2025-03-16 10:29:26
33861608,https://www.idealista.pt/en/imovel/33861608/,"T2 flat in travessa João Alves, Rio Seco - Casalinho, Ajuda","290,000€",290000,"travessa João Alves, Rio Seco - Casalinho, Ajuda",259,T2,Ground floor,No,T259 m²Ground floor without lift,2025-03-16 10:29:26
33347728,https://www.idealista.pt/en/imovel/33347728/,"T1 flat in Anjos, Arroios","299,000€",299000,"Anjos, Arroios",162,T1,,,T162 m²,2025-03-16 10:29:26
33873162,https://www.idealista.pt/en/imovel/33873162/,"T1 flat in Beato, Lisboa","220,000€",220000,"Beato, Lisboa",147,T1,,,T147 m²,2025-03-16 10:29:26
32973030,https://www.idealista.pt/en/imovel/32973030/,"T2 flat in rua Engenheiro Paulo Barros, Bairro de Santa Cruz, Benfica","210,000€",210000,"rua Engenheiro Paulo Barros, Bairro de Santa Cruz, Benfica",253,T2,Ground floor,Yes,T253 m²Ground floor with lift,2025-03-16 10:29:26
33938321,https://www.idealista.pt/en/imovel/33938321/,"T1 flat in largo dos Trigueiros, Mouraria - Castelo, Santa Maria Maior","245,000€",245000,"largo dos Trigueiros, Mouraria - Castelo, Santa Maria Maior",160,T1,1,No,T160 m²1st floor without lift,2025-03-16 10:29:26
30450592,https://www.idealista.pt/en/imovel/30450592/,"T2 flat in rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda","244,000€",244000,"rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda",276,T2,2,No,T276 m²2nd floor without lift,2025-03-16 10:29:26
33746760,https://www.idealista.pt/en/imovel/33746760/,"T2 flat in beco da Verónica, 3, São Vicente de Fora, São Vicente","229,000€",229000,"beco da Verónica, 3, São Vicente de Fora, São Vicente",245,T2,,No,T245 m²without lift,2025-03-16 10:29:46
33886997,https://www.idealista.pt/en/imovel/33886997/,"T2 flat in Santa Catarina, Misericórdia","288,000€",288000,"Santa Catarina, Misericórdia",257,T2,2,No,T257 m²2nd floor without lift,2025-03-16 10:29:46
33789599,https://www.idealista.pt/en/imovel/33789599/,"T2 flat in Baixa, Santa Maria Maior","299,000€",299000,"Baixa, Santa Maria Maior",272,T2,4,No,T272 m²4th floor without lift,2025-03-16 10:29:46
33059145,https://www.idealista.pt/en/imovel/33059145/,"T2 flat in Prazeres - Maria Pia, Campo de Ourique","275,000€",275000,"Prazeres - Maria Pia, Campo de Ourique",272,T2,Ground floor,No,T272 m²Ground floor without lift,2025-03-16 10:29:46
33359450,https://www.idealista.pt/en/imovel/33359450/,"T2 flat in Marvila, Lisboa","280,000€Parking included",280000,"Marvila, Lisboa",286,T2,,Yes,T286 m²with lift,2025-03-16 10:29:46
33520741,https://www.idealista.pt/en/imovel/33520741/,"T1 flat in rua do Vale de Santo António, Santa Engrácia, São Vicente","299,900€",299900,"rua do Vale de Santo António, Santa Engrácia, São Vicente",160,T1,Ground floor,No,T160 m²Ground floor without lift,2025-03-16 10:29:46
33922974,https://www.idealista.pt/en/imovel/33922974/,"T2 flat in estrada de Chelas, Beato, Lisboa","159,000€",159000,"estrada de Chelas, Beato, Lisboa",260,T2,Ground floor,No,T260 m²Ground floor without lift,2025-03-16 10:29:46
32591572,https://www.idealista.pt/en/imovel/32591572/,"T1 flat in Avenida do Uruguai, Benfica","265,000€",265000,"Avenida do Uruguai, Benfica",142,T1,,Yes,T142 m²with lift,2025-03-16 10:29:46
33914485,https://www.idealista.pt/en/imovel/33914485/,"T2 flat in rua David Lopes, Alto de São João - Alto do Varejão, Penha de França","288,000€",288000,"rua David Lopes, Alto de São João - Alto do Varejão, Penha de França",265,T2,1,No,T265 m²1st floor without lift,2025-03-16 10:29:46
33925481,https://www.idealista.pt/en/imovel/33925481/,"T1 flat in Alvito - Quinta do Jacinto, Alcântara","230,000€",230000,"Alvito - Quinta do Jacinto, Alcântara",142,T1,,No,T142 m²without lift,2025-03-16 10:29:46
